2025/01/28 06:51:12 [error] 25388#47396: *31418 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "wp-test-site.local", referrer: "http://wp-test-site.local/wp-admin/post.php?post=387&action=elementor"
2025/01/29 07:02:04 [error] 24388#24436: *25551 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/jetpack/v4/connection/data?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:04 [error] 24388#24436: *25555 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=product HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25545 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25545 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25561 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25553 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25553 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25555 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=product HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25557 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=oembed-cache&post=136 HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25557 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=oembed-cache&post=136 HTTP/1.1", upstream: "fastcgi://php", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25551 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/jetpack/v4/connection/data?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25563 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 07:02:08 [error] 24388#24436: *25566 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=136&action=edit"
2025/01/29 10:17:53 [error] 24388#24436: *35299 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=752&action=elementor"
2025/01/29 10:17:53 [error] 24388#24436: *35303 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/plugins.php?plugin_status=all&paged=1&s"
2025/01/29 10:18:58 [error] 24388#24436: *35482 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/plugins.php?plugin_status=all&paged=1&s"
2025/01/29 10:18:58 [error] 24388#24436: *35486 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/customize.php?return=%2Fwp-admin%2Fpost.php%3Fpost%3D136%26action%3Dedit"
2025/01/29 14:05:07 [error] 26160#18732: *5647 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/elementor/v1/site-navigation/recent-posts?posts_per_page=6&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=752&action=elementor"
2025/01/29 14:05:07 [error] 26160#18732: *5651 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/elementor/v1/kit-elements-defaults HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=752&action=elementor"
2025/01/29 14:05:07 [error] 26160#18732: *5655 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "equiestrianfootwear", referrer: "http://equiestrianfootwear/wp-admin/post.php?post=748&action=elementor"
